URL,Category
https://www.ikea.com/gb/en/products/textiles-rugs/curtains-blinds/,Curtains & blinds
https://www.ikea.com/gb/en/products/textiles-rugs/cushions-inner-cushions/,Cushions & cushion pads
https://www.ikea.com/gb/en/products/textiles-rugs/bedlinen/,Bedding
https://www.ikea.com/gb/en/products/textiles-rugs/quilts/,Duvets
https://www.ikea.com/gb/en/products/textiles-rugs/pillows/,Pillows
https://www.ikea.com/gb/en/products/textiles-rugs/mattress-pillow-protectors/,Mattress & pillow protectors
https://www.ikea.com/gb/en/products/textiles-rugs/blankets-throws/,Blankets & throws
https://www.ikea.com/gb/en/products/textiles-rugs/bedspread/,Bedspreads
https://www.ikea.com/gb/en/products/textiles-rugs/fabrics/,Fabrics
https://www.ikea.com/gb/en/products/textiles-rugs/door-mats/,Door mats
https://www.ikea.com/gb/en/products/textiles-rugs/covers/,Covers
https://www.ikea.com/gb/en/products/textiles-rugs/towels-bathmats/,Towels & bathmats
https://www.ikea.com/gb/en/products/textiles-rugs/shower-curtains/,Shower curtains
https://www.ikea.com/gb/en/products/textiles-rugs/chair-pads/,Chair pads
https://www.ikea.com/gb/en/products/textiles-rugs/table-linen/,Table linen
https://www.ikea.com/gb/en/products/textiles-rugs/tea-towels-aprons-oven-gloves/,"Tea towels, aprons & oven gloves"
https://www.ikea.com/gb/en/products/textiles-rugs/sewing-accessories/,Sewing accessories
https://www.ikea.com/gb/en/products/textiles-rugs/outdoor-textiles/,Outdoor textiles
https://www.ikea.com/gb/en/products/ikea-family-products/bathrobes-slippers/,Bathrobes & slippers
https://www.ikea.com/gb/en/products/smart-home-appliances/tools-fittings/,Tools & fittings
https://www.ikea.com/gb/en/products/tools-fittings-curtain-rails/curtain-rods-rails/,Curtain rods & rails
https://www.ikea.com/gb/en/products/tools-fittings-curtain-rails/knobs-handles/,Knobs & handles
https://www.ikea.com/gb/en/products/wardrobes/fitted-wardrobes/,PAX wardrobes
https://www.ikea.com/gb/en/products/wardrobes/free-standing-wardrobes/,Free standing wardrobes
https://www.ikea.com/gb/en/products/storage-furniture/platsa-modular-storage-system/,PLATSA modular storage system
https://www.ikea.com/gb/en/products/small-storage-organisers/clothes-organisers/,Clothes organisers
https://www.ikea.com/gb/en/products/small-storage-organisers/hooks-hangers/,Hooks & hangers
https://www.ikea.com/gb/en/products/tools-fittings-curtain-rails/knobs-handles/,Knobs & handles
https://www.ikea.com/gb/en/products/lighting/decorative-lighting/,Decorative lighting
https://www.ikea.com/gb/en/products/childrens-ikea-products/children-3-7/toys-play/,Toys & play
https://www.ikea.com/gb/en/products/christmas/holiday-cookware-tableware/,Christmas cookware & tableware
https://www.ikea.com/gb/en/products/christmas/holiday-candles-candle-holders/,Christmas candles & candle holders
https://www.ikea.com/gb/en/products/christmas/holiday-flowers-vases-pots/,"Christmas flowers, vases & pots"
